Time,Symbol,Price,Volatility,TrendSlope,RSI,ATR,MarketHeat,Regime,Strategy,Signal,Confidence,Stake,Profit
2025-12-10T03:03:51.0000000Z,1HZ10V,9405.8199999999997,0.35270361495171232,-0.006162785114274592,68.2352941176093,0.13214285714301305,60,TrendingDown,Mean Reversion [LowVol],Sell,1,25,-25
2025-12-10T03:04:11.0000000Z,1HZ10V,9404.8600000000006,0.39755673808901948,-0.0084715486194477784,30.92369477913671,0.17928571428572987,60,TrendingDown,MA Trend,Sell,1,25,-25
2025-12-10T05:04:36.0000000Z,1HZ10V,9428.5599999999995,0.28924452652022681,-0.011678520626088139,31.137724550847977,0.13642857142843109,55,RangingHighVol,Range / Mean Reversion [RangeLowVol],Buy,1,25,-25
2025-12-10T06:07:35.0000000Z,1HZ10V,9421.6299999999992,0.27404561664077071,0.014783673469387755,63.503649635045221,0.10571428571399467,60,TrendingDown,Advanced Price Action,Buy,1,25,-25
2025-12-10T06:07:48.0000000Z,1HZ10V,9421.6299999999992,0.23347813602133577,0.0075039615844048804,50,0.18071428571420256,60,TrendingDown,Advanced Price Action,Sell,1,25,-25
2025-12-10T06:07:59.0000000Z,1HZ10V,9422.0599999999995,0.2499296701073688,0.0096504201678382535,64.529914529897269,0.18428571428596893,60,TrendingDown,Advanced Price Action,Buy,1,25,-25
2025-12-10T14:14:42.0000000Z,R_50,131.36879999999999,0.027564515232451643,0.0025561029009306692,53.612845673498114,0.0082500000000018357,25,RangingLowVol,Advanced Price Action,Buy,0.59999999999999998,20,18.690000000000001
2025-12-10T14:14:52.0000000Z,R_50,131.3999,0.027695320884548839,0.0015945855615017406,53.00902708124346,0.014628571428573878,55,TrendingUp,Advanced Price Action,Buy,0.59999999999999998,25,23.359999999999999
2025-12-10T14:15:14.0000000Z,R_50,131.4469,0.038171682096152723,0.0024104439746266272,74.757281553394378,0.013764285714287894,35,TrendingUp,Advanced Price Action,Buy,1,20,18.690000000000001
2025-12-10T14:15:22.0000000Z,R_50,131.44839999999999,0.040525663808053829,0.0024593356491499486,55.918663761799174,0.011821428571431218,35,TrendingUp,Advanced Price Action,Buy,1,20,18.690000000000001
2025-12-10T14:15:40.0000000Z,R_50,131.47739999999999,0.05109252000048467,0.0031111932773084917,58.43940232429005,0.013728571428574452,55,TrendingUp,Advanced Price Action,Buy,1,25,-25
2025-12-10T14:15:48.0000000Z,R_50,131.4906,0.050835244309434993,0.0031014165666298707,62.310385064181403,0.012299999999998232,55,TrendingUp,Advanced Price Action,Buy,1,25,23.359999999999999
2025-12-10T14:16:00.0000000Z,R_50,131.4967,0.053559044390279781,0.0033124945978389212,44.075829383890799,0.012842857142855126,55,TrendingUp,Advanced Price Action,Buy,1,25,23.359999999999999
2025-12-10T14:16:06.0000000Z,R_50,131.49969999999999,0.054448704520860577,0.0034113613445414643,57.070386810399668,0.011492857142859034,55,TrendingUp,Advanced Price Action,Buy,1,25,-25
2025-12-10T14:16:54.0000000Z,R_50,131.50200000000001,0.024252692716482224,0.00090231932772665609,51.078476365308454,0.015635714285713625,55,TrendingUp,Advanced Price Action,Buy,0.59999999999999998,25,-25
2025-12-10T14:17:04.0000000Z,1HZ30V,6562.3760000000002,0.16049999999995634,-0.32099999999991269,50,0,0,Unknown,Range / Mean Reversion [RangeLowVol],Buy,0,25,-25
2025-12-10T18:45:51.0000000Z,1HZ15V,13279.832,0.60493129395004308,0.0016145978387235021,25.982256020271521,0.31285714285708571,65,TrendingDown,Advanced Price Action,Sell,1,25,23.359999999999999
2025-12-10T18:51:31.0000000Z,1HZ100V,820.75999999999999,0.29288470576723485,-0.0060093582887308147,42.499999999996213,0.087857142857136042,60,TrendingUp,Advanced Price Action,Sell,1,25,-25
2025-12-10T18:51:44.0000000Z,1HZ100V,820.84000000000003,0.27469247283349202,-0.008310823311699635,53.333333333333961,0.097142857142882483,60,TrendingUp,Advanced Price Action,Sell,1,25,-25
